Id,Target
000a6c98-bb9b-11e8-b2b9-ac1f6b6435d0,7 1 2 0
000a9596-bbc4-11e8-b2bc-ac1f6b6435d0,5
000c99ba-bba4-11e8-b2b9-ac1f6b6435d0,1
001bcdd2-bbb2-11e8-b2ba-ac1f6b6435d0,0
002679c2-bbb6-11e8-b2ba-ac1f6b6435d0,0
00285ce4-bba0-11e8-b2b9-ac1f6b6435d0,2 0
002daad6-bbc9-11e8-b2bc-ac1f6b6435d0,7
00357b1e-bba9-11e8-b2ba-ac1f6b6435d0,6 2
003feb6e-bbca-11e8-b2bc-ac1f6b6435d0,0
00456fd2-bb9b-11e8-b2b9-ac1f6b6435d0,7 1 2 0
00508c34-bbb7-11e8-b2ba-ac1f6b6435d0,3 0
005a78ec-bbae-11e8-b2ba-ac1f6b6435d0,7
005ccb94-bbca-11e8-b2bc-ac1f6b6435d0,2
0065e36c-bba4-11e8-b2b9-ac1f6b6435d0,2 0
0067a7c0-bbb7-11e8-b2ba-ac1f6b6435d0,1 0
0067cae4-bb9d-11e8-b2b9-ac1f6b6435d0,0
006a8c72-bbc8-11e8-b2bc-ac1f6b6435d0,5
006f5b04-bbb3-11e8-b2ba-ac1f6b6435d0,3
00751f10-bbab-11e8-b2ba-ac1f6b6435d0,0
007811e6-bbbc-11e8-b2ba-ac1f6b6435d0,2
00855996-bbad-11e8-b2ba-ac1f6b6435d0,0
008b8e7c-bbb4-11e8-b2ba-ac1f6b6435d0,1 0
00986cb0-bbae-11e8-b2ba-ac1f6b6435d0,5 0
009b8c20-bbc6-11e8-b2bc-ac1f6b6435d0,7
009e88e0-bbc5-11e8-b2bc-ac1f6b6435d0,2
00b1b8b8-bba5-11e8-b2ba-ac1f6b6435d0,2
00b3659a-bbb0-11e8-b2ba-ac1f6b6435d0,5 0
00b580c6-bbb2-11e8-b2ba-ac1f6b6435d0,0
00b6c386-bba9-11e8-b2ba-ac1f6b6435d0,7
00b9bdcc-bbca-11e8-b2bc-ac1f6b6435d0,6
00bd4376-bbbf-11e8-b2ba-ac1f6b6435d0,7
00c76b88-bbb2-11e8-b2ba-ac1f6b6435d0,0
00c9616e-bba7-11e8-b2ba-ac1f6b6435d0,3
00c96be4-bbb8-11e8-b2ba-ac1f6b6435d0,5
00cb9586-bbc2-11e8-b2bb-ac1f6b6435d0,3
00d315a6-bbac-11e8-b2ba-ac1f6b6435d0,7 0
00d4f904-bbb4-11e8-b2ba-ac1f6b6435d0,1 4 2 0
00d7d192-bbb9-11e8-b2ba-ac1f6b6435d0,7 0
00df1310-bbca-11e8-b2bc-ac1f6b6435d0,6
00e77c9c-bbc2-11e8-b2bb-ac1f6b6435d0,4
00e96ea4-bbc1-11e8-b2bb-ac1f6b6435d0,5
00ed296c-bbb3-11e8-b2ba-ac1f6b6435d0,2
00f42960-bbb3-11e8-b2ba-ac1f6b6435d0,2
00fe597e-bbc9-11e8-b2bc-ac1f6b6435d0,5
00ff41c4-bba9-11e8-b2ba-ac1f6b6435d0,0 8
01028112-bbb4-11e8-b2ba-ac1f6b6435d0,6
01058b36-bbbf-11e8-b2ba-ac1f6b6435d0,3 0
01095156-bbb7-11e8-b2ba-ac1f6b6435d0,0
011364f4-bba1-11e8-b2b9-ac1f6b6435d0,0
0115f496-bbb8-11e8-b2ba-ac1f6b6435d0,2
011945ae-bbb5-11e8-b2ba-ac1f6b6435d0,3
